qty,mfr_pn,source,used_on,role
1,ESP32 DevKit V1 WROOM,Adafruit/Amazon,shared,BLE HID MCU (existing)
2,623ZZ,Amazon/AliExpress,chassis,Hinge bearings 3x10x4 mm
1,M3x20 steel shoulder or socket cap,McMaster/Amazon,chassis,Hinge pin
1,"torsion spring 0.5 mm music wire, 5 mm ID, 4 turns",DIY/McMaster,chassis,Return 0.5-0.7 N at grip
1,8.0 mm OD x 1.0 mm wall 6061 tube 140 mm,McMaster,chassis,Pencil-grip stick
1,Same Sky SJ1-3513N,Digi-Key,chassis,3.5 mm TRS jack (tip=NO sleeve=GND)
1,1/4-20 brass heat-set insert,Amazon,chassis,RAM/Manfrotto mount
4,M4 heat-set or slot hardware,Amazon,chassis,Tray slots
8,M3 heat-set inserts short,Amazon,chassis,Cover + stick pinch
4,M2.5x8 + inserts,Amazon,module bay,Module screws 34x26 mm
1,2N7000 N-FET,Digi-Key,analog modules,Jack drive GPIO27
1,10k 1% TH,Digi-Key,analog modules,2N7000 gate pulldown
1,8-pin 2.54 header pair,Digi-Key,module,3V3 GND SOFT HARD ADC SDA SCL ID
1,Omron D2F-01F-D3,Digi-Key/Mouser,method3,Soft click 0.74 N gold microload
1,Omron D2F-01-D3,Digi-Key/Mouser,method3,Hard click 1.47 N gold microload
2,extra D2F-01F-D3 / D2F-01-D3,Digi-Key,method3,Spares
4,M2x8 pan + hex nuts,Amazon,method3,Switch slots
2,1N4148 (or BAT54),Digi-Key,method3,Jack diode-OR
1,Adafruit 166 Alpha MF01A-N-221-A01,Adafruit,method2,14.7 mm FSR 0.3-10 N
2,spare FSR 166 or Interlink 34-00012,Adafruit/Digi-Key,method2,Tail-tear spares
1,47k 1% resistor,Digi-Key,method2,FSR pulldown
1,100 nF ceramic,Digi-Key,method2/4a,ADC RC
1,Honeywell SS49E,Digi-Key/Mouser,method4a,Linear Hall TO-92
2,6x3 mm N35 disc magnet,K&J/Amazon,method4a,One installed one spare
1,100 nF Vcc,Digi-Key,method4a,Hall decoupling
1,10 nF,Digi-Key,method4a,Hall output filter
2,M2x8 nylon/brass,Amazon,method4a,Non-ferrous gap slot
1,SparkFun SEN-13329 TAL220 10 kg,SparkFun,method4b,Load cell (YZC-133 5 kg substitute)
1,Adafruit 4538 NAU7802,Adafruit,method4b,24-bit I2C ADC
1,STEMMA QT / Qwiic cable,Adafruit,method4b,I2C
1,Ø5 mm steel ball,McMaster,method4b,Anvil
2,M4x10 locknuts,Amazon,method4b,Cell slots
1,APH 1-08615-00,APH,backup,Existing binary wobble stick
1,PETG filament,Amazon,print,Structural
1,TPU 95A filament,Amazon,print,Grip bellows feet puck plug
1,3M Dual Lock SJ3550,3M,mount,Tray pads
